chr16,57683063,57683163
chr9,135897861,135897961
chr2,30934598,30934698
chr1,17036405,17036505
chr20,36966183,36966283
chr17,78549263,78549363
chr3,195577879,195577979
chr5,179095546,179095646
chr20,30200820,30200920
chr3,48477537,48477637
chr10,65801077,65801177
chr20,32900612,32900712
chr12,54069949,54070049
chr6,53036790,53036890
chr17,32527081,32527181
chr1,114889268,114889368
chr1,16951537,16951637
chr4,83660609,83660709
chr11,129234164,129234264
chr10,46983798,46983898
chr3,194650134,194650234
chr5,140904433,140904533
chr11,65990278,65990378
chr1,155220586,155220686
chr10,90488314,90488414
chr17,37778319,37778419
chr12,54773569,54773669
chr12,45342640,45342740
chr9,136608248,136608348
chr20,30421330,30421430
chr17,43212772,43212872
chr17,25708124,25708224
chr19,48201500,48201600
chr12,58299262,58299362
chr6,15691633,15691733
chr1,21596841,21596941
chr5,43105921,43106021
chr2,220507342,220507442
chr19,42612789,42612889
chr22,20918721,20918821
chr2,109252939,109253039
chr6,137910675,137910775
chr9,130880027,130880127
chr9,36008929,36009029
chr18,42792851,42792951
chr12,104026481,104026581
chr7,98050439,98050539
chr2,11604,11704
chr11,47376892,47376992
chr17,79075639,79075739
chr8,22432006,22432106
chr15,74913538,74913638
chr1,160651415,160651515
chr14,21560776,21560876
chr1,145059104,145059204
chr19,41140535,41140635
chr19,34269019,34269119
chr17,37392069,37392169
chr2,217531466,217531566
chr16,77270053,77270153
chr5,139348481,139348581
chr2,91815153,91815253
chr17,55320612,55320712
chr1,32429840,32429940
chr3,184521210,184521310
chr5,61064667,61064767
chr1,8035450,8035550
chr15,41196306,41196406
chr3,46530332,46530432
chr17,40474907,40475007
chr19,59092648,59092748
chr15,79888515,79888615
chr9,33722250,33722350
chr6,73122034,73122134
chr14,104544421,104544521
chr1,150952088,150952188
chr6,29040041,29040141
chr2,135208557,135208657
chr15,40567016,40567116
chr7,150869770,150869870
chr7,4869858,4869958
chr17,41561105,41561205
chr1,38455810,38455910
chr4,85404147,85404247
chr22,46763651,46763751
chr17,41837876,41837976
chr15,56538372,56538472
chr14,23590125,23590225
chr14,50328879,50328979
chr9,95397117,95397217
chr12,119882399,119882499
chr1,172697272,172697372
chr7,38375361,38375461
chr1,155034109,155034209
chr16,19897730,19897830
chr3,185378347,185378447
chr1,16947659,16947759
chr20,30148008,30148108
chr15,45410452,45410552
chr1,17820858,17820958
chr1,158057269,158057369
chr1,35318421,35318521
chr2,219712518,219712618
chr20,32535628,32535728
chr2,70875155,70875255
chr11,36768770,36768870
chr10,102193672,102193772
chr17,36823918,36824018
chr19,56165118,56165218
chr3,51703425,51703525
chr3,46120449,46120549
chr17,32688619,32688719
chr10,4891976,4892076
chr22,21239903,21240003
chr1,109820190,109820290
chr20,56785033,56785133
chr5,174961187,174961287
chr16,30626828,30626928
chr2,44706683,44706783
chr11,61666707,61666807
chr6,144263404,144263504
chr6,154996863,154996963
chr2,128349156,128349256
chr17,35730599,35730699
chr6,41286716,41286816
chr17,39819078,39819178
chr14,96027421,96027521
chr20,37064032,37064132
chr14,90866019,90866119
chr6,41336761,41336861
chr19,510750,510850
chr11,62673564,62673664
chr17,36819501,36819601
chr17,74394215,74394315
chr1,159861491,159861591
chr10,73808427,73808527
chr20,1484420,1484520
chr12,53553288,53553388
chr7,75943724,75943824
chr10,30287401,30287501
chr10,98135184,98135284
chr12,52721422,52721522
chr1,204958555,204958655
chr12,53374777,53374877
chr22,31545133,31545233
chr17,17259499,17259599
chr20,11993032,11993132
chr7,39781987,39782087
chr15,27262512,27262612
chr11,65756562,65756662
chr16,8617794,8617894
chr12,17092889,17092989
chr17,72350318,72350418
chr19,17607216,17607316
chr10,103362648,103362748
chr6,30098931,30099031
chr1,38955599,38955699
chr1,109806357,109806457
chr17,48157158,48157258
chr20,47950589,47950689
chr17,21183441,21183541
chr1,47641140,47641240
chr15,39110009,39110109
chr4,7072622,7072722
chr1,174998988,174999088
chr12,52607415,52607515
chr16,147040,147140
chr4,596575,596675
chr19,40023537,40023637
chr11,78356392,78356492
chr12,56131038,56131138
chr11,74959839,74959939
chr1,9687159,9687259
chr17,77389502,77389602
chr3,52157273,52157373
chr19,42532513,42532613
chr17,55969963,55970063
chr16,4304119,4304219
chr11,69796305,69796405
chr2,223555429,223555529
chr14,24901077,24901177
chr5,175156946,175157046
chr2,36998006,36998106
chr3,32219517,32219617
chr12,57632989,57633089
chr20,30150748,30150848
chr12,54973617,54973717
chr7,1032894,1032994
chr15,77925947,77926047
chr12,54608621,54608721
chr16,57334607,57334707
chr1,24711812,24711912
chr22,41799919,41800019
chr19,5690160,5690260
chr9,34664420,34664520
chr19,13088779,13088879
chr16,441933,442033
chr10,88109383,88109483
chr11,3846083,3846183
chr2,85512729,85512829
chr2,217642521,217642621
chr1,167772702,167772802
chr2,118572049,118572149
chr3,50653486,50653586
chr11,120173878,120173978
chr11,2554073,2554173
chr7,75807569,75807669
chr5,139012996,139013096
chr17,45307231,45307331
chr3,38692835,38692935
chr12,54140536,54140636
chr17,30580189,30580289
chr3,137787548,137787648
chr7,100157536,100157636
chr2,119640327,119640427
chr11,6319961,6320061
chr2,86041461,86041561
chr3,51672011,51672111
chr8,6884396,6884496
chr11,60897371,60897471
chr15,90016150,90016250
chr11,19579330,19579430
chr7,127849958,127850058
chr2,120399274,120399374
chr1,11898844,11898944
chr19,51041090,51041190
chr16,67555054,67555154
chr1,68808574,68808674
chr7,150821144,150821244
chr9,124885393,124885493
chr1,94279692,94279792
chr4,40843151,40843251
chr11,68868984,68869084
chr22,43263868,43263968
chr9,120249915,120250015
chr16,68554646,68554746
chr3,67164383,67164483
chr11,74991321,74991421
chr15,33993036,33993136
chr10,88720319,88720419
chr15,70805243,70805343
chr13,40517054,40517154
chr1,116012444,116012544
chr3,140911264,140911364
chr5,176539005,176539105
chr5,176736816,176736916
chr8,2263120,2263220
chr18,3297533,3297633
chr1,25428066,25428166
chr1,159130916,159131016
chr10,97134508,97134608
chr12,122232227,122232327
chr14,23538223,23538323
chr15,51178196,51178296
chr9,34379465,34379565
chr22,37934959,37935059
